72,73,74,75,76,77,78,79;59,60,61,62,63,64,65,66,67,68,69,70
68,69,70,71,72,73,74,75,76,77,78,79;57,58,59,60,61,62,63,64,65
1,2,3,4;3,4,5,6
56,57,58,59,60,61,62,63,64,65,66,67,68;51,52,53,54,55,56,57,58,59,60,61,62
82,83,84,85,86,87,88,89,90;61,62,63,64,65,66,67
84,85,86,87,88,89,90,91,92,93,94;78,79,80,81,82,83,84,85,86,87
56,57,58,59,60,61;75,76,77,78,79,80,81,82,83,84,85,86
88,89,90,91,92,93,94,95,96,97,98,99,100,101;87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
9,10,11;33,34,35
59,60,61,62,63,64,65,66,67,68,69,70,71;80,81,82,83,84,85,86,87,88,89,90,91
86,87,88,89,90,91,92,93;51,52,53,54,55,56,57
20,25,36,45,89;25,36,77,88,98
95,96,97,98,99,100,101,102,103,104,105,106,107;70,71,72,73,74
92,93,94,95,96,97;93,94,95,96,97,98,99,100
84,85,86,87,88,89,90,91,92,93,94,95,96,97;85,86,87,88,89,90,91,92,93,94,95,96
82,83,84,85,86,87,88,89,90,91,92,93,94;80,81,82,83,84,85,86,87,88,89,90,91,92
9,10,11;11,12,13
73,74,75,76,77,78,79,80,81;60,61,62,63,64,65,66,67,68,69,70
99,100,101,102,103;70,71,72,73,74,75,76,77,78,79,80,81,82,83
89,90,91,92,93,94,95,96,97,98,99,100,101,102;83,84,85,86,87,88

